authorDisplayName;textDisplay;clean_comment;;
@tedysuryanto579;Ko Will tolong bahas kalau mau invest di coal bagus dimana Ptba, Itmg, Bssr, Indy tks ko;ko tolong bahas kalau mau invest di coal bagus dimana ptba itmg bssr indy tks ko;;
@trukmobilvideobis;bang GJTL gimana nih sudah cuan, enaknya di jual apa di hold,, tolong di buatkan contenya , ane sudah subscribe..<br>thankss...;bang gjtl gimana nih sudah cuan enaknya di jual apa di hold tolong di buatkan contenya ane sudah subscribebrthankss;;
@degaes;Disaat orng2 takut sma goto, disitu saya All In;disaat orng takut sma goto disitu saya;;
@Kk-nl6mx;kamu keren;kamu keren;;
@degaes;@@Kk-nl6mx See..??;kknlmx see;;
@terizanorymada8738;Baru nyerok 2610.. eh turun lagi.. 😅 wait and see.. 2200 nyerok lagi...;baru nyerok eh turun lagi wait see nyerok lagi;;
@riekanich;Bahas Q3 ANTM Donkk;bahas q antm donkk;;
@puputyustanto6218;Lagi ambruk 2480 PTBA, gass serok;lagi ambruk ptba gass serok;;
@iwayanardiana8975;Jhon gue ngg ada duet jhooonn mau serok 🤣🤣;jhon gue ngg ada duet jhooonn mau serok;;
@ekosumargono2962;bahas GGRM donk koh wens....ada anomali...net income naik bagus..harga dibanting;bahas ggrm donk koh wensada anomalinet income naik bagusharga dibanting;;
@Garry-Stewart;Beli PTBA di 2600 sekarang lagi loss tapi pengen lebih turun lagi biar bisa nambah;beli ptba di sekarang lagi loss tapi pengen lebih turun lagi biar bisa nambah;;
@riskisahputra4432;Hr ini kita Avg di2500an bro will;hr ini kita avg dian bro;;
@itz_heyletsgo421;PTBA 2470 saat ini 😭😭;ptba saat ini;;
@adib_logika;Ngantri di 2500 udh match wkwk;ngantri di udh match wkwk;;
@annassinagabfc4729;KKGI bang;kkgi bang;;
@tommyajahputra;Kkgi Pssi turun q3;kkgi pssi turun q;;
@TopGlobalLegends;John bahas PSSI john..pada panik Q3 anjlok wkwkwkw;john bahas pssi johnpada panik q anjlok wkwkwkw;;
@soeboer_makmoer_farm;Eps Q3 cuma 87 gimna ini jhin ?;eps q cuma gimna ini jhin;;
@dadanroyoni7914;Mantap bang wil👍👍<br>Semoga saja casj tersedia buat nyerok PTBA;mantap bang wilbrsemoga saja casj tersedia buat nyerok ptba;;
@amrizalkidsboy;tengss koh wil;tengss koh wil;;
@utamikaryanti2274;Nunggu Q3 bssr, harga nya masih di jagain di 4000 an;nunggu q bssr harga nya masih di jagain di;;
@oliviasafitri4400;ntn video lain katany tiap akhir th saham harga batu bara bakal naik.. jadi yang bener mana nih, akhir th naik apa turun kecenderungannya??;ntn video lain katany tiap akhir th saham harga batu bara bakal naik jadi yang bener mana nih akhir th naik apa turun kecenderungannya;;
@lamhotsupanto9667;Baru nambah muagan di BRI<br>saham ADRO dan PTBA awal taun aja beli nya .;baru nambah muagan di bribrsaham adro dan ptba awal taun aja beli nya;;
@ellysusia2800;Jika menabung sampai 1 miliar, kemudian dividen 16 % yang artinya 160 juta pertahun, sudah lebih dari cukup jon buat hidup. Semangat jon, gaji UMR, nabung PTBA.;jika menabung sampai miliar kemudian dividen yang artinya juta pertahun sudah lebih dari cukup jon buat hidup semangat jon gaji umr nabung ptba;;
@sujikenyekkenyek5456;Bhas kkgi jhon,Q3 seupil;bhas kkgi jhonq seupil;;
@oldchef2839;Thanks a lot John insightnya;thanks lot john insightnya;;
@nunung456;Selalu ada ketenangan dan optimis ketika menyimak podcast ko williem, terimakasih ko williem, semoga selalu sehat wal afiat diberikan rizki yg luas dan keluarga yg bahagia sejahtera. <br>Aamiin yaa Robbal alaamiin 🤲;selalu ada ketenangan dan optimis ketika menyimak podcast ko williem terimakasih ko williem semoga selalu sehat wal afiat diberikan rizki yg luas dan keluarga yg bahagia sejahtera braamiin yaa robbal alaamiin;;
@alifiblodot4537;Bahan ITMG dong bang.......saham kesayangan;bahan itmg dong bangsaham kesayangan;;
@sandraoktaviana9828;Belum keluar Q3 nya, saya juga lg nunggu;belum keluar q nya saya juga lg nunggu;;
@RiskyTrapYT;Mau tanya koh will, knp hrg batubara anjlok pas desember? Bukannya disebagian negara justru musim dingin permintaan lbh banyak ya? Kira” mendekati pemilu, dividen makin kecil atau justru malah besar ya?;mau tanya koh knp hrg batubara anjlok pas desember bukannya disebagian negara justru musim dingin permintaan lbh banyak ya kira mendekati pemilu dividen makin kecil atau justru malah besar ya;;
@ibnubajaw1853;Logikanya pas saat musim dingin tuh perusahaan uda pd stok bln2 sblmnya. Jd hbs desember malah banyak perusahaan dah ga nyetok atau butuhnya sedikit;logikanya pas saat musim dingin tuh perusahaan uda pd stok bln sblmnya jd hbs desember malah banyak perusahaan dah ga nyetok atau butuhnya sedikit;;
@RiskyTrapYT;@@ibnubajaw1853 ohh begitu, betul jg.;ibnubajaw ohh begitu betul jg;;
@bangcacing6032;TINS bg;tins bg;;
@buzzlightyear2150;Rencnaa mau hold 4thn gmn bang;rencnaa mau hold thn gmn bang;;
@sularsobachtiar5318;Mas willy minta tolong bahas bjtm ya mas... Makasih;mas willy minta tolong bahas bjtm ya mas makasih;;
@itz_heyletsgo421;Jakarta, CNBC Indonesia - Presiden Joko Widodo (Jokowi) memerintahkan agar pada tahun ini setidaknya ada satu Pembangkit Listrik Tenaga Uap (PLTU) batu bara yang bisa dipastikan untuk dilakukan pensiun dini.;jakarta cnbc indonesia presiden joko widodo jokowi memerintahkan agar pada tahun ini setidaknya ada satu pembangkit listrik tenaga uap pltu batu bara yang bisa dipastikan untuk dilakukan pensiun dini;;
